RetailerName,ProductID,ProductName,Category,SubCategory,BrandName,Size,Color,ConditionGrade,OriginalPrice,EstimatedResalePrice,DonationDate,StorageLocation,AuthenticityVerified,DonationStatus,SustainabilityScore,TaxBenefitEligible,WinningBidShippingCost,ShippingPartner,AR_TryOnAvailable,RewardPoints,MaterialType,EcoFriendlyPackaging,ProductImageURL
StyleNation,e390f836,Material Hats,Accessories,Hats,"Ball, Smith and Lamb",L,Blue,Fair,194.36,97.41,2025-04-13,Mitchellmouth,No,Available,1,Yes,11.94,In-House,No,250,Leather,Yes,https://placekitten.com/591/118
ChicFusion,48e617e7,Deep Sandals,Shoes,Sandals,Harris-Pratt,M,Pink,Good,247.59,154.46,2024-12-03,North Rileyport,No,Sold,4,Yes,16.21,FedEx,No,127,Silk,Yes,https://placekitten.com/170/411
Trendify,3d9437f9,Media Trousers,Pants,Trousers,"Jordan, Smith and Watson",M,White,Fair,269.19,141.31,2025-02-03,West Cathyland,Yes,Reserved,8,No,10.29,DHL,Yes,197,Silk,No,https://placekitten.com/19/531
EcoThreads,40db009e,Both Evening Gowns,Dresses,Evening Gowns,Gonzalez-Walker,XS,Red,Like New,285.78,188.65,2024-05-21,Lake John,No,Available,3,Yes,12.7,UPS,No,317,Leather,Yes,https://placeimg.com/278/695/any
Trendify,6d51fb63,Nor Jeans,Pants,Jeans,Wright-Powers,XS,Red,Good,272.99,141.3,2024-04-29,Lake Timothy,No,Sold,1,No,15.27,In-House,Yes,357,Leather,Yes,https://placekitten.com/47/895
StyleNation,ec17f73d,Support Trousers,Pants,Trousers,Castillo LLC,L,Black,Fair,53.36,34.26,2024-05-10,West Stephanieland,No,Reserved,6,Yes,6.62,FedEx,No,80,Leather,No,https://placeimg.com/373/795/any
StyleNation,b877afe2,Bar Sweaters,Tops,Sweaters,"Lozano, Padilla and Mendez",XS,Black,Fair,287.2,122.06,2024-12-30,Juliefort,No,Available,7,Yes,18.39,FedEx,No,356,Denim,No,https://dummyimage.com/839x963
Trendify,b320420c,Seat Hats,Accessories,Hats,"Walters, Murray and Fleming",XXL,Green,Good,273.07,140.32,2024-10-15,Port Kimberlyshire,No,Reserved,6,No,11.02,In-House,No,400,Silk,No,https://placeimg.com/514/164/any
Trendify,c03cfc76,Choose Jeans,Pants,Jeans,"Lewis, Hodge and Henderson",XL,Pink,New,97.51,45.48,2024-05-19,South Patricia,Yes,Available,6,Yes,13.65,DHL,No,57,Silk,No,https://placeimg.com/239/623/any
EcoThreads,e3a12f2c,Federal T-Shirts,Tops,T-Shirts,Ramos and Sons,S,Black,Very Good,109.58,58.92,2024-10-27,Hallside,Yes,Available,3,Yes,19.98,FedEx,No,420,Wool,No,https://placekitten.com/176/774
ChicFusion,3b778c4c,Art Blouses,Tops,Blouses,Oliver-Mcneil,L,White,Good,253.56,103.7,2024-08-16,Martinmouth,Yes,Reserved,9,Yes,13.05,In-House,No,69,Leather,No,https://www.lorempixel.com/274/427
EcoThreads,4349b6e6,Why Bags,Accessories,Bags,Rose-Lawrence,S,Blue,Good,265.42,185.79,2024-05-27,New Tarastad,No,Reserved,4,Yes,13.95,DHL,No,215,Denim,No,https://placekitten.com/931/338
StyleNation,924c389d,Suggest Leggings,Pants,Leggings,Barker-Hudson,S,Red,Good,91.45,53.43,2024-07-18,Gordonborough,No,Sold,6,No,12.44,In-House,Yes,63,Silk,Yes,https://dummyimage.com/413x905
ChicFusion,dcd33c72,Himself Evening Gowns,Dresses,Evening Gowns,Turner and Sons,L,White,Very Good,258.48,161.91,2024-07-21,North Laura,No,Reserved,2,Yes,12.63,In-House,No,231,Silk,Yes,https://dummyimage.com/652x592
Trendify,a4d75840,As Boots,Shoes,Boots,Campbell-Scott,XL,White,Fair,30.81,16.93,2024-11-13,West Robert,Yes,Sold,5,Yes,10.07,UPS,Yes,108,Silk,No,https://www.lorempixel.com/237/551
Trendify,97f5cc26,Deep Bags,Accessories,Bags,Taylor Inc,XS,Green,Like New,190.29,127.14,2024-06-22,North Matthew,No,Reserved,10,No,10.74,FedEx,Yes,131,Leather,No,https://placekitten.com/775/539
Trendify,51f0a902,Big Jeans,Pants,Jeans,Randall PLC,XL,Brown,New,239.77,100.8,2025-02-09,South Mariahtown,No,Sold,10,Yes,17.98,In-House,Yes,490,Denim,No,https://www.lorempixel.com/78/436
EcoThreads,806d6bf5,Still Sneakers,Shoes,Sneakers,Henry PLC,XS,Pink,New,193.25,117.26,2025-04-21,New Ericaland,Yes,Available,5,Yes,17.57,DHL,Yes,365,Polyester,No,https://placekitten.com/447/615
Trendify,f3d83799,Become T-Shirts,Tops,T-Shirts,Vincent-Patterson,XXL,Blue,Fair,50.92,31.27,2024-11-27,Dianeland,Yes,Sold,2,Yes,7.42,FedEx,No,356,Polyester,No,https://www.lorempixel.com/69/590
Trendify,e7951f47,Record Sneakers,Shoes,Sneakers,Page Ltd,XS,White,Fair,64.39,44.64,2024-05-12,Lake Krystal,No,Reserved,6,Yes,17.11,In-House,Yes,388,Leather,Yes,https://placeimg.com/750/234/any
UrbanPulse,f0b1ceb4,Pay Bags,Accessories,Bags,Smith Group,L,Green,Good,296.05,148.74,2024-12-10,East Ashleyborough,No,Sold,1,No,13.48,In-House,Yes,155,Leather,No,https://placekitten.com/526/610
ChicFusion,7cf18e3f,Fight Summer Dresses,Dresses,Summer Dresses,Hatfield LLC,XXL,Red,Very Good,71.04,23.42,2024-11-24,Port Joseph,Yes,Reserved,6,No,19.5,UPS,No,484,Denim,Yes,https://placekitten.com/263/571
ChicFusion,f141e63a,Same Evening Gowns,Dresses,Evening Gowns,Orozco LLC,M,Green,New,122.04,46.08,2024-10-07,Port Jerryburgh,Yes,Reserved,9,Yes,16.55,In-House,Yes,205,Cotton,Yes,https://placekitten.com/196/843
StyleNation,29db1d24,Group Sneakers,Shoes,Sneakers,Thompson-Gonzalez,S,White,Very Good,78.69,38.9,2025-01-11,Port Donna,No,Sold,1,Yes,7.56,UPS,No,152,Silk,No,https://placeimg.com/780/133/any
StyleNation,9052b769,Husband Hats,Accessories,Hats,Powers and Sons,XS,Green,New,157.95,88.38,2025-03-25,Johnsonbury,No,Reserved,4,No,5.62,UPS,Yes,496,Leather,Yes,https://www.lorempixel.com/681/201
Trendify,45716c5d,State Bags,Accessories,Bags,Reyes-Wheeler,S,Gray,Very Good,82.62,57.04,2025-04-12,Lake Krystal,No,Available,3,No,15.15,In-House,No,193,Cotton,No,https://placeimg.com/341/503/any
StyleNation,a85f3c37,Shake Boots,Shoes,Boots,Bush and Sons,L,Brown,Fair,81.87,43.85,2025-04-23,Lawsonberg,No,Available,8,No,18.08,UPS,No,456,Cotton,Yes,https://placekitten.com/200/858
UrbanPulse,d54c16fb,Movement Hats,Accessories,Hats,"Adams, Huerta and Hayes",XXL,Red,Good,221.87,111.87,2025-04-19,Bairdville,Yes,Available,10,No,17.23,DHL,No,451,Wool,No,https://placekitten.com/472/351
UrbanPulse,56890247,Deep Casual Dresses,Dresses,Casual Dresses,"Jacobs, Gallagher and Roy",XL,White,Fair,197.7,82.69,2024-09-20,Nelsonstad,No,Sold,5,Yes,5.1,UPS,No,368,Cotton,Yes,https://placeimg.com/252/182/any
UrbanPulse,892a10bd,I Casual Dresses,Dresses,Casual Dresses,"Ingram, Snyder and Mcdonald",XXL,Brown,New,138.3,60.31,2024-09-05,Sarahside,No,Reserved,1,No,5.36,DHL,Yes,158,Polyester,No,https://www.lorempixel.com/523/1012
ChicFusion,9448fe92,Especially Sneakers,Shoes,Sneakers,Boone Ltd,S,Gray,Good,149.49,51.56,2024-12-13,Williamsbury,Yes,Sold,6,No,17.52,UPS,No,135,Cotton,No,https://dummyimage.com/964x740
EcoThreads,2cb2c7dd,Rather Boots,Shoes,Boots,Williamson-Wilson,XL,Gray,Very Good,275.26,106.12,2024-09-10,Port Cassieport,No,Reserved,2,No,5.6,DHL,No,496,Wool,No,https://placekitten.com/2/355
Trendify,97f945eb,Wife Sweaters,Tops,Sweaters,"Gardner, Jones and Stokes",XL,Black,Fair,138.91,66.95,2024-08-18,New Patrickbury,No,Available,7,Yes,13.1,In-House,No,405,Leather,Yes,https://placeimg.com/825/1018/any
StyleNation,1144e919,Develop Sandals,Shoes,Sandals,Rivera-Gross,L,Brown,Like New,252.62,169.6,2025-01-04,Wheelerville,Yes,Reserved,5,Yes,18.13,DHL,Yes,458,Leather,Yes,https://placekitten.com/502/247
StyleNation,0707a2f8,Bring Hats,Accessories,Hats,"Perkins, Daniel and Jones",XL,Blue,Like New,179.85,108.22,2024-06-05,New Leonardhaven,No,Sold,9,Yes,17.76,UPS,Yes,362,Leather,No,https://placeimg.com/34/998/any
Trendify,aed3c451,Still Hats,Accessories,Hats,"Gross, Mejia and Carlson",L,Brown,Like New,288.06,112.44,2025-02-06,Toddberg,No,Sold,6,No,18.22,FedEx,No,326,Silk,Yes,https://www.lorempixel.com/787/300
EcoThreads,ffe59dff,Financial Trousers,Pants,Trousers,Sanford-Jones,M,Pink,Good,144.22,67.43,2024-06-18,South Roberthaven,Yes,Available,7,Yes,9.28,UPS,Yes,115,Polyester,No,https://placeimg.com/383/305/any
EcoThreads,5531353b,Appear Scarves,Accessories,Scarves,Smith Group,XL,Brown,Very Good,185.8,122.88,2025-02-03,East Alicia,No,Sold,2,Yes,13.6,FedEx,Yes,291,Denim,No,https://www.lorempixel.com/397/63
UrbanPulse,f659aa58,Important Leggings,Pants,Leggings,Larsen-Lynch,L,Red,Like New,142.76,63.23,2024-07-07,West Angelaville,Yes,Sold,8,No,19.72,DHL,No,200,Polyester,Yes,https://www.lorempixel.com/422/183
EcoThreads,20f2461e,According Sweaters,Tops,Sweaters,Walton Group,S,Pink,Good,46.28,25.47,2024-05-24,Mauricechester,Yes,Reserved,2,No,5.89,UPS,Yes,236,Cotton,No,https://www.lorempixel.com/38/490
ChicFusion,8aacce49,Sense Casual Dresses,Dresses,Casual Dresses,Fisher Inc,XS,Black,Good,201.91,140.73,2025-02-08,New Heathertown,Yes,Reserved,4,Yes,8.49,UPS,No,421,Silk,No,https://placeimg.com/469/852/any
UrbanPulse,c6d3ac5c,Beautiful Boots,Shoes,Boots,Navarro Group,M,Gray,New,79.42,54.49,2024-08-07,West Amy,No,Sold,8,No,11.09,In-House,Yes,309,Silk,No,https://placeimg.com/59/839/any
UrbanPulse,20e6a9ba,Power Sandals,Shoes,Sandals,Ford LLC,M,Green,Very Good,79.46,27.28,2025-02-11,Chungtown,No,Reserved,7,No,8.08,DHL,Yes,464,Cotton,Yes,https://www.lorempixel.com/603/966
EcoThreads,7ae66b2f,Simple Bags,Accessories,Bags,Evans-Maddox,L,White,Very Good,49.71,25.08,2025-03-07,Adamtown,No,Reserved,8,Yes,11.54,In-House,Yes,341,Denim,Yes,https://dummyimage.com/176x65
Trendify,2d714a6e,Plan Sneakers,Shoes,Sneakers,Leblanc-Stokes,XXL,Black,Good,114.35,55.31,2024-07-10,Marquezland,Yes,Available,5,No,13.96,DHL,Yes,107,Polyester,No,https://www.lorempixel.com/457/864
EcoThreads,a2179b19,Industry Casual Dresses,Dresses,Casual Dresses,"Ramos, Schneider and Hayes",S,Yellow,Fair,245.19,78.99,2024-12-04,Lake Daletown,No,Reserved,3,No,12.45,DHL,No,213,Denim,Yes,https://dummyimage.com/508x607
StyleNation,1fcbdf52,Especially Jeans,Pants,Jeans,Clayton-Bailey,XS,Black,Very Good,97.12,54.36,2024-11-25,New Elizabethfort,No,Sold,7,No,7.39,UPS,Yes,235,Silk,No,https://dummyimage.com/493x932
ChicFusion,158d054e,Today Sweaters,Tops,Sweaters,Berry PLC,XL,Pink,Fair,185.82,91.68,2024-06-09,Carolhaven,Yes,Reserved,8,No,5.42,In-House,No,399,Wool,Yes,https://dummyimage.com/634x146
Trendify,8f592f6e,Measure Evening Gowns,Dresses,Evening Gowns,"Smith, Simon and Ramos",XS,Gray,New,201.89,76.07,2025-01-14,Michaelastad,Yes,Sold,9,Yes,13.47,FedEx,Yes,370,Wool,No,https://placeimg.com/388/657/any
Trendify,907d5d70,Few Leggings,Pants,Leggings,Gibson and Sons,L,Yellow,Good,20.59,13.49,2025-01-21,Patrickland,Yes,Reserved,9,Yes,12.04,UPS,No,339,Polyester,No,https://www.lorempixel.com/609/442
StyleNation,5fb76d90,End Jeans,Pants,Jeans,Martinez LLC,XS,Red,New,116.34,45.16,2024-11-17,Derekchester,No,Available,9,No,6.95,UPS,Yes,478,Leather,Yes,https://www.lorempixel.com/911/500
ChicFusion,4433cd96,Street Scarves,Accessories,Scarves,Hess LLC,XL,Gray,Fair,47.46,17.1,2025-01-14,Kendrahaven,No,Sold,5,No,18.88,DHL,No,454,Silk,No,https://placekitten.com/247/854
StyleNation,6ef12f41,Kind Scarves,Accessories,Scarves,Ellis Group,XL,Pink,Fair,232.07,124.61,2025-03-30,Darrellstad,Yes,Reserved,1,No,11.27,UPS,Yes,299,Silk,Yes,https://www.lorempixel.com/276/641
Trendify,f6ea8ad8,Range Evening Gowns,Dresses,Evening Gowns,Jones and Sons,XL,Gray,Like New,55.46,28.69,2025-02-12,Carlamouth,Yes,Available,1,Yes,9.88,In-House,No,356,Silk,No,https://dummyimage.com/180x743
StyleNation,4eed581d,Player Boots,Shoes,Boots,"Walker, Pugh and Smith",XL,White,Good,223.96,78.2,2025-02-28,South John,No,Reserved,6,No,14.66,UPS,No,204,Polyester,No,https://placeimg.com/69/796/any
ChicFusion,0cde4347,Pretty Evening Gowns,Dresses,Evening Gowns,Hodges-Bonilla,XL,Gray,Like New,117.38,36.22,2024-06-14,West Nicole,Yes,Available,4,No,17.49,UPS,No,323,Polyester,No,https://dummyimage.com/119x232
EcoThreads,13fbdc88,Improve Casual Dresses,Dresses,Casual Dresses,"Moore, Watkins and Fletcher",L,Yellow,Fair,75.3,51.58,2025-02-09,Hatfieldburgh,Yes,Sold,3,Yes,11.67,FedEx,No,488,Denim,Yes,https://www.lorempixel.com/913/502
UrbanPulse,b84827e6,Action Evening Gowns,Dresses,Evening Gowns,"Dorsey, Cox and White",XXL,Pink,Very Good,131.51,52.72,2025-03-31,Tracyfort,No,Available,1,No,6.54,UPS,Yes,333,Wool,Yes,https://placekitten.com/849/428
ChicFusion,a15b232e,Other Casual Dresses,Dresses,Casual Dresses,Flores Group,L,Green,Very Good,224.77,147.84,2024-08-11,Hannahshire,Yes,Reserved,5,No,17.91,In-House,Yes,52,Wool,Yes,https://placeimg.com/332/902/any
Trendify,559bf36c,Consider Jeans,Pants,Jeans,"Thomas, Woods and Barry",XXL,Blue,Very Good,204.49,122.65,2024-12-15,Kennethburgh,Yes,Available,2,Yes,15.8,UPS,No,429,Wool,No,https://dummyimage.com/397x265
Trendify,ce3ff9cd,Tell Bags,Accessories,Bags,Kennedy LLC,XS,Green,Fair,63.49,19.07,2025-01-19,Hilltown,Yes,Available,2,Yes,11.86,DHL,Yes,175,Wool,Yes,https://www.lorempixel.com/676/433
UrbanPulse,a4f4dc68,Set Trousers,Pants,Trousers,Hammond PLC,XXL,Green,Fair,249.5,162.23,2024-10-19,Hodgefurt,No,Reserved,5,Yes,17.87,DHL,No,336,Polyester,No,https://dummyimage.com/592x1020
Trendify,2e4e0756,Toward Trousers,Pants,Trousers,Smith Inc,XL,Green,New,274.94,152.87,2025-02-21,Kevinbury,Yes,Sold,8,Yes,17.8,DHL,Yes,65,Wool,No,https://placeimg.com/727/935/any
Trendify,47ef3cd0,Agreement Boots,Shoes,Boots,Garcia-Martinez,XS,Yellow,New,61.17,36.64,2024-08-16,Port Markfort,Yes,Reserved,1,No,9.36,UPS,No,129,Leather,Yes,https://www.lorempixel.com/1024/519
UrbanPulse,c077f2a4,Defense Blouses,Tops,Blouses,Riley Group,M,Blue,Like New,58.43,30.67,2025-04-13,West Allison,Yes,Sold,2,No,13.86,UPS,No,496,Denim,Yes,https://www.lorempixel.com/393/16
EcoThreads,31a1da61,Song Evening Gowns,Dresses,Evening Gowns,Mills-Lambert,XL,Green,Very Good,136.94,42.72,2024-11-12,East Kellyfurt,Yes,Available,2,Yes,15.93,FedEx,No,280,Polyester,Yes,https://placeimg.com/658/673/any
Trendify,a2409d1d,Its Sandals,Shoes,Sandals,"Johnson, Wells and Ramirez",XS,Green,Good,234.09,141.2,2024-12-28,Adriennemouth,Yes,Reserved,10,Yes,11.71,DHL,No,194,Denim,Yes,https://placekitten.com/337/161
Trendify,344bf737,Time Sneakers,Shoes,Sneakers,Rogers-Avila,M,Gray,New,297.87,181.87,2024-09-19,Lake Susantown,No,Available,4,No,16.34,DHL,Yes,218,Wool,No,https://www.lorempixel.com/837/701
Trendify,84f09a2e,Account Boots,Shoes,Boots,Benson-Mitchell,M,Pink,Fair,219.07,121.44,2024-08-16,Brownhaven,No,Available,10,Yes,9.9,In-House,No,447,Cotton,No,https://placeimg.com/661/818/any
Trendify,9fb449ad,Capital Bags,Accessories,Bags,Jackson LLC,XS,Yellow,Good,254.0,97.52,2024-08-19,Johnchester,No,Available,7,No,9.71,UPS,No,380,Leather,Yes,https://placeimg.com/818/451/any
